date,open,high,low,close,volume
2021-07-23,1895146.855585831,1967244.833787466,1884847.1444141688,1889997.0,18
2021-07-26,1920896.226255088,1933770.8658412483,1877122.4516621437,1897721.875,16
2021-07-27,1918321.5460102959,2114016.092985843,1918321.5460102959,2000719.25,41
2021-07-28,1980119.3624320654,2005868.6389266306,1877122.2564538044,1895146.75,34
2021-07-29,1895147.2022955522,1895147.2022955522,1779275.4304160688,1794725.0,45
2021-07-30,1843648.6884164223,1846223.6167521996,1745801.4116568915,1756101.125,41
2021-08-02,1722626.75,1732926.461509716,1653103.697309417,1722626.75,45
2021-08-03,1717476.9039193303,1779275.173325723,1689152.697108067,1691727.625,41
2021-08-04,1691727.923622047,1691727.923622047,1609330.216535433,1635079.5,52
2021-08-05,1614479.793103448,1668553.278996865,1609329.937304075,1642804.0,30
2021-08-06,1671128.4631782945,1678853.2480620155,1640229.3236434108,1660828.75,21
2021-08-09,1647953.93568147,1702027.4241960184,1640229.1516079633,1681428.0,19
2021-08-10,1668553.2,1774125.2388888889,1663403.3444444444,1738076.25,25
2021-08-11,1714901.957048458,1820473.9994493392,1714901.957048458,1753525.875,30
2021-08-12,1776700.2592329544,1856523.0245028408,1776700.2592329544,1812749.25,24
2021-08-13,1812749.4956521739,1828199.0652173911,1771550.6434782608,1776700.5,17
2021-08-16,1799874.5528295129,1838498.4702722062,1779275.1301934097,1797299.625,21
2021-08-17,1838498.7235772358,1949220.6355013552,1838498.7235772358,1900297.0,43
2021-08-18,1905446.6806994819,1990419.3029468912,1879697.40123057,1987844.375,28
2021-08-19,2008443.6752988049,2059942.2310756973,1902871.6359561754,1938920.625,51
2021-08-20,1923470.9541440217,1967244.7241847827,1884847.039402174,1895146.75,22
2021-08-23,1841073.457780236,1841073.457780236,1732926.4854351033,1745801.125,27
2021-08-24,1727776.538888889,1753525.8166666667,1712326.9722222222,1738076.25,15
2021-08-25,1722626.7986006052,1725201.7265506808,1660828.5277987898,1702027.375,23
2021-08-26,1712327.1401515151,1738076.4204545454,1676278.1477272727,1699452.5,22
2021-08-27,1691727.467845659,1699452.2508038585,1591305.2893890676,1601605.0,33
2021-08-30,1578430.841112013,1606755.048701299,1542381.8496347403,1586155.625,31
2021-08-31,1586155.5111111111,1663403.3444444444,1581005.6555555556,1622204.5,37
2021-09-01,1601605.2937500002,1650528.928125,1596455.4375,1647954.0,24
2021-09-02,1632504.5716535433,1655678.9267716534,1617055.0015748031,1635079.5,20
2021-09-03,1637654.1690821256,1645378.9528985508,1578430.826489533,1599030.25,25
2021-09-07,1599030.130772293,1645378.8302149682,1596455.2030254777,1617054.625,18
2021-09-08,1642804.0610599078,1720051.9009216588,1629929.4210829493,1676278.125,40
2021-09-09,1681427.976902174,1681427.976902174,1627354.4891304348,1658253.625,26
2021-09-10,1622204.4804936305,1622204.4804936305,1542381.7203423567,1617054.625,72
2021-09-13,1570706.1437908497,1640229.202614379,1562981.3594771242,1575856.0,48
2021-09-14,1560406.341133005,1596455.3325123154,1534657.0615763548,1568131.125,55
2021-09-15,1568131.2470930233,1609330.0975913622,1544956.8936877076,1550106.75,37
2021-09-16,1575855.91959799,1599030.271356784,1519207.5041876046,1537232.0,48
2021-09-17,1547531.7790464743,1629929.477764423,1544956.8509615385,1606755.125,50
2021-09-20,1704602.1505216095,1797299.5484351714,1691727.5119225036,1727776.5,63
2021-09-21,1689152.8253012048,1761250.811746988,1673703.2567771084,1709752.25,40
2021-09-22,1673703.3105939005,1691727.8077849117,1593880.5373194222,1604180.25,46
2021-09-23,1583580.6490384615,1601605.1442307692,1526932.235576923,1539806.875,38
2021-09-24,1581005.6867720466,1583580.6146006656,1537231.9136855241,1547531.625,29
2021-09-27,1593880.3457711441,1624779.4800995025,1539806.8606965174,1552681.5,36
2021-09-28,1635079.306379822,1740651.3560830862,1617054.8100890208,1735501.5,67
2021-09-29,1730351.4745762711,1833348.586158192,1712326.980049435,1823048.875,49
2021-09-30,1779275.1025776835,1825623.802789548,1735501.3301553673,1823048.875,43
2021-10-01,1797299.5971045198,1910596.4198446327,1789574.8137358758,1823048.875,35
2021-10-04,1853948.622047244,1977545.1968503937,1846223.8361220472,1962095.625,50
2021-10-05,1926046.2407152683,1944070.7376203577,1830773.8999312243,1871972.75,42
2021-10-06,1931196.2239583335,1954370.5786458335,1846223.590104167,1853948.375,43
2021-10-07,1779275.3935786434,1792150.0346320346,1709752.3318903318,1784425.25,37
2021-10-08,1763825.693469101,1846223.3900983147,1758675.8374297754,1833348.75,27
2021-10-11,1869397.591563786,1879697.3028120713,1784424.9737654321,1877122.375,24
2021-10-12,1835923.4635278515,1972394.6326259947,1833348.5358090184,1941495.5,44
2021-10-13,1910596.42780027,1933770.7780026991,1877122.3663967613,1908021.5,30
2021-10-14,1802449.4444444445,1825623.7944444444,1738076.25,1738076.25,43
2021-10-15,1699452.5,1727776.7083333333,1684002.9318181816,1699452.5,28
2021-10-18,1735501.464673913,1761250.7445652175,1658253.625,1658253.625,26
2021-10-19,1650528.6254019293,1673702.9742765273,1599030.0723472668,1601605.0,27
2021-10-20,1614479.928115016,1629929.4968051119,1591305.5750798723,1611905.0,25
2021-10-21,1642803.9954545456,1642803.9954545456,1552681.5192148762,1557831.375,31
2021-10-22,1586155.7188498403,1619629.784345048,1534657.1565495208,1611905.0,35
2021-10-25,1591305.5150897226,1606755.0831973897,1550106.66680261,1578430.875,26
2021-10-26,1539807.0065359476,1591305.5686274508,1524357.4379084967,1575856.0,46
2021-10-27,1604180.2156549522,1624779.64057508,1552681.6533546327,1611905.0,37
2021-10-28,1544956.626506024,1552681.409638554,1496033.0,1496033.0,52
2021-10-29,1537232.0419565216,1544956.8260869565,1478008.6969565216,1480583.625,41
2021-11-01,1478008.494981752,1483158.3503649635,1405910.5196167885,1411060.375,40
2021-11-02,1413635.4886363635,1416210.4166666665,1354412.1439393938,1359562.0,45
2021-11-03,1351837.1493602362,1364711.7888779528,1300338.59128937,1308063.375,42
2021-11-04,1264289.6222707422,1284889.0458515284,1158717.576419214,1179317.0,101
2021-11-05,1150992.764423077,1171592.1875,1109793.9182692308,1138118.125,95
2021-11-08,1117518.835106383,1127818.5478723405,1066020.2712765958,1089194.625,89
2021-11-09,1058295.4867021276,1125243.619680851,1053145.630319149,1089194.625,108
2021-11-10,1150992.8111413044,1199916.4429347827,1107219.035326087,1184466.875,119
2021-11-11,1125243.695185615,1153567.9071925755,1102069.3399071926,1109794.125,76
2021-11-12,1094344.3168257757,1117518.6670644393,1060870.2553699284,1078894.75,60
2021-11-15,1058295.3794856458,1112368.8660287082,1050570.5956937799,1076319.875,50
2021-11-16,1096919.5240024938,1099494.4524625936,1024821.5271197008,1032546.3125,61
2021-11-17,1029971.1491442543,1068595.067237164,1029971.1491442543,1053145.5,52
2021-11-18,999072.0719794345,1029971.208226221,983622.5038560411,1001647.0,72
2021-11-19,1004221.8798828125,1014521.5914713541,970747.817220052,988772.3125,59
2021-11-22,970747.8620957711,1037695.9905161691,932123.9418532338,1035121.0625,96
2021-11-23,1042845.9375,1099494.3587962964,1014521.7268518519,1042845.9375,103
2021-11-24,1071170.1628498728,1102069.3021628498,1009371.8842239185,1011946.8125,69
2021-11-26,1068594.9735294117,1117518.5988235294,1037695.8417647058,1094344.25,70
2021-11-29,1045420.6112600536,1058295.2493297586,960448.0,960448.0,82
2021-11-30,978472.5126903553,1042845.7043147208,952723.2360406092,1014521.5,93
2021-12-01,975897.9033808933,1042846.0445099255,916674.5477667493,1037696.1875,127
2021-12-02,1071170.2580645161,1096919.543114144,1014521.8309553349,1037696.1875,113
2021-12-03,993922.3097290641,1081469.8706896552,960448.2423029557,1045420.875,108
2021-12-06,1058295.3994164618,1148417.8786855037,1037695.9755835381,1047995.6875,123
2021-12-07,978472.7492774567,978472.7492774567,883200.4026372833,890925.1875,152
2021-12-08,903799.6970880681,937273.7599431818,901224.7691761364,906374.625,75
2021-12-09,924399.1610704787,973322.793550532,896074.9527925532,968172.9375,92
2021-12-10,916674.2848360656,981047.4789959016,901224.718237705,942423.5625,77
2021-12-13,934698.8662974684,1022246.4185126582,929549.0102848102,1017096.5625,82
2021-12-14,1053145.7216478698,1071170.2205513786,1014521.7954260652,1027396.4375,121
2021-12-15,1019671.4957865169,1068595.1281601123,916674.375,916674.375,91
2021-12-16,908949.6689814815,1055720.5787037038,903799.8125,1042845.9375,92
2021-12-17,1071169.7524752475,1078894.5343440594,993921.9337871288,1040270.625,99
2021-12-20,1089194.6576876515,1104644.227300242,1045420.8771186441,1063445.375,71
2021-12-21,999071.9690860215,1042845.7409274194,952723.2694892474,957873.125,68
2021-12-22,973322.7203038675,983622.4316298342,932123.875,932123.875,48
2021-12-23,921824.1530172414,921824.1530172414,880625.3081896552,896074.875,75
2021-12-27,888350.203125,888350.203125,823977.0,823977.0,80
2021-12-28,811102.3295454545,862600.8901515151,811102.3295454545,849726.25,93
2021-12-29,854876.1060606061,862600.8901515151,829126.8257575757,849726.25,40
2021-12-30,849726.2390350878,883200.3029970761,842001.4550438597,880625.375,52
2021-12-31,875475.519005848,883200.3029970761,854876.0950292398,880625.375,53
2022-01-03,867750.7323369565,875475.5163043479,829126.8125,829126.8125,72
2022-01-04,821402.0657592025,898649.9089340491,803377.5690184049,839426.5625,116
2022-01-05,860025.8596368715,924399.0527234637,834276.5824022347,921824.125,127
2022-01-06,926974.0186246418,955298.2247492836,888350.1011819484,898649.8125,114
2022-01-07,906374.7000000001,988772.4,893500.0593750001,978472.6875,105
2022-01-10,1011946.6036706349,1078894.7250330688,970747.759755291,973322.6875,178
2022-01-11,991347.3651960784,1009371.862745098,919249.375,919249.375,104
2022-01-12,896074.9564285714,932123.9489285714,875475.5321428571,901224.8125,130
2022-01-13,862600.927473262,973322.8375668449,839426.5741978609,963023.125,182
2022-01-14,988772.275862069,991347.2036637932,893499.947198276,896074.875,178
2022-01-18,944998.6773218829,1022246.5256043257,939848.82076972,1011946.8125,167
2022-01-19,993922.2196969696,1107219.053030303,970747.8674242424,1104644.125,208
2022-01-20,1076319.936836518,1215366.0530785562,1053145.5841295116,1212791.125,209
2022-01-21,1225665.7424242424,1279739.231060606,1130393.4053030303,1274589.375,238
2022-01-24,1359561.9069767443,1478008.5882663848,1217940.875,1217940.875,255
2022-01-25,1323512.904716981,1385311.1726415094,1274589.2759433961,1364711.75,194
2022-01-26,1246265.170318725,1364711.860059761,1127818.4805776894,1292613.875,241
2022-01-27,1251414.845716783,1485733.2633304195,1251414.845716783,1472858.625,183
2022-01-28,1485733.3277777778,1604180.0055555557,1387886.0722222223,1390461.0,191
2022-01-31,1364711.6601995565,1390460.9368070953,1158717.447339246,1161292.375,178
2022-02-01,1130393.3558352403,1220515.832951945,1120093.6441647597,1125243.5,215
2022-02-02,1063445.3634259258,1114943.9282407407,1037696.0810185185,1042845.9375,276
2022-02-03,1125243.5816993464,1194766.6405228758,1073745.0196078431,1181892.0,220
2022-02-04,1205066.46,1246265.3133333332,1127818.61,1158717.75,187
2022-02-07,1150992.965,1176742.2483333333,1107219.1833333333,1158717.75,159
2022-02-08,1179317.013095238,1184466.869047619,1066020.182142857,1081469.75,199
2022-02-09,1035120.9533730159,1073744.869543651,968172.8320105821,973322.6875,190
2022-02-10,1040271.0205811139,1076320.0163438257,950148.5311743341,1063445.375,296
2022-02-11,1053145.4923361521,1243690.1535412262,1029971.1416490487,1217940.875,259
2022-02-14,1207641.1635835096,1266864.5042283298,1143267.967230444,1217940.875,214
2022-02-15,1140693.2263040713,1145843.0828562342,1011946.8125,1011946.8125,237
2022-02-16,1047995.5596446701,1078894.6916243655,1004221.7893401015,1014521.5,214
2022-02-17,1055720.51369863,1132968.3561643835,1050570.6575342466,1127818.5,256
2022-02-18,1122668.7533333334,1212791.245,1112369.04,1158717.75,269
2022-02-22,1202491.4438720173,1243690.2941973968,1102069.2462039045,1187041.875,315
2022-02-23,1145842.9734848484,1282314.159090909,1107219.053030303,1274589.375,268
2022-02-24,1413635.5406250001,1429085.109375,1125243.590625,1132968.375,299
2022-02-25,1125243.450477327,1179316.934367542,1076319.822195704,1078894.75,225
2022-02-28,1114943.8179156908,1158717.593676815,1063445.2581967213,1099494.25,250
2022-03-01,1104644.145700637,1248840.1180997877,1086619.6491507431,1212791.125,205
2022-03-02,1187041.6452941177,1192191.5005882352,1071169.9011764706,1094344.25,178
2022-03-03,1073744.7859513273,1184466.6703539821,1073744.7859513273,1163867.25,230
2022-03-04,1199916.6113402061,1295188.9603092782,1166442.542783505,1248840.25,201
2022-03-07,1241115.5098389983,1444534.8568872989,1220516.0822898033,1439385.0,170
2022-03-08,1416210.4166666665,1488308.4015151514,1199916.4621212122,1359562.0,304
2022-03-09,1228240.4870410366,1272014.2570194383,1161292.36825054,1192191.5,221
2022-03-10,1256564.965376782,1333812.8116089613,1248840.1807535642,1264289.75,213
2022-03-11,1207641.1951628353,1351837.158764368,1199916.4113984676,1344112.375,182
2022-03-14,1354412.0495614035,1496033.081359649,1336387.554605263,1467708.875,210
2022-03-15,1423935.002268145,1459983.9896673388,1264289.486643145,1277164.125,203
2022-03-16,1215365.8862559241,1251414.874407583,1084044.5722748816,1086619.5,331
2022-03-17,1107219.2111650486,1138118.3519417476,1058295.5716019417,1060870.5,194
2022-03-18,1076319.8818005181,1099494.233322539,981047.547765544,993922.1875,227
2022-03-21,1001646.9278350516,1053145.4845360825,975897.6494845361,999072.0,289
2022-03-22,999072.0045811519,1009371.7159685864,947573.4476439791,983622.4375,213
2022-03-23,1011946.7231707317,1058295.4280487804,973322.8024390243,1055720.5,267
2022-03-24,1024821.3582142857,1037695.9983928571,898649.8844642857,901224.8125,283
2022-03-25,898649.8125,950148.3690902579,890925.0290114613,898649.8125,248
2022-03-28,923111.6089145024,957873.1339363875,882427.75,882427.75,428
2022-03-29,839941.5323741006,876248.0179856115,817024.6726618705,823204.5,417
2022-03-30,842001.4676785714,913584.4670714285,831959.2483392857,901224.8125,341
2022-03-31,904572.1658653846,968687.8701923076,889637.5841346154,964053.0,414
2022-04-01,949118.2636852085,1060097.6374367888,941135.9885429835,1018383.8125,485
2022-04-04,1008856.8026664897,1021473.9500198992,963538.0693154683,970490.375,184
2022-04-05,993407.2081777882,1109278.9665188987,989029.8306404573,1103614.125,370
2022-04-06,1173394.453053435,1211245.8870229009,1124728.3236641223,1180604.25,459
2022-04-07,1189616.7117903929,1250899.9969432314,1143268.0087336244,1179317.0,350
2022-04-08,1205581.1346780765,1269696.8336389568,1202491.2214751425,1263774.5,331
2022-04-11,1322997.9376437883,1350807.158598543,1288751.3970235812,1343082.375,241
2022-04-12,1263259.7878055715,1375011.672825469,1224378.371588971,1358789.625,316
2022-04-13,1329692.94473953,1351837.3276302349,1237253.0208120532,1260427.375,223
2022-04-14,1242145.2354929578,1374754.0241079812,1240085.29314554,1371149.125,216
2022-04-18,1390718.537562189,1395610.9004975124,1260684.680597015,1293901.25,280
2022-04-19,1313213.3932369205,1333297.8333687792,1204551.4222671203,1210731.25,226
2022-04-20,1153825.253242303,1233133.036772459,1122926.1168019823,1221030.875,248
2022-04-21,1174681.9983924397,1338189.9047885814,1132968.170303975,1321452.875,325
2022-04-22,1334585.058796635,1413120.355523043,1301625.9834491587,1407970.5,245
2022-04-25,1436037.219279661,1454061.713694145,1331752.6444530047,1336902.5,293
2022-04-26,1386598.8291638256,1517147.6882884419,1378101.5661438801,1510452.875,368
2022-04-27,1569676.1071667783,1571993.542364367,1424707.6609176155,1537747.0,262
2022-04-28,1444791.9899124573,1503500.343806601,1230043.0111944054,1279481.625,362
2022-04-29,1345657.1270674018,1455606.532589365,1262229.4751022586,1447881.75,346
2022-05-02,1439642.2949315612,1473888.8385241025,1292613.901011704,1298021.25,269
2022-05-03,1305488.686021615,1336130.3336816884,1234420.662877243,1262744.875,235
2022-05-04,1236222.914649608,1355184.5865029967,1111853.894075611,1117003.75,315
2022-05-05,1175197.1331109763,1327375.3771224984,1172107.219526986,1273816.875,433
2022-05-06,1316045.6490582696,1384538.7311653914,1226953.143761036,1312440.75,367
2022-05-09,1398185.8746386669,1535429.534156606,1351579.678817378,1514315.125,444
2022-05-10,1378873.7259792204,1510967.511493196,1322225.3189361899,1400245.625,313
2022-05-11,1448139.1196638655,1543926.415630252,1343082.0853781514,1532081.75,366
2022-05-12,1581005.8395936484,1627612.0377966536,1463846.6120667576,1508135.375,294
2022-05-13,1420073.0991588973,1449942.2704195378,1240085.5930279691,1270469.75,332
2022-05-16,1310380.9707801624,1343597.5448085847,1269697.1049158932,1331752.875,277
2022-05-17,1224635.6889343332,1240600.2416496251,1125243.473642354,1133225.75,471
2022-05-18,1187041.846826809,1317333.2078884935,1143268.0693950178,1302398.625,458
2022-05-19,1333297.6368804665,1361364.3503644315,1226438.1314139941,1324800.375,426
2022-05-20,1252444.871111111,1507105.2283333333,1249097.465,1332525.125,586
2022-05-23,1358274.5187597962,1391233.597129702,1300853.6244122258,1314243.25,328
2022-05-24,1368831.7379737608,1454319.3483965015,1361364.446701895,1413120.5,390
2022-05-25,1441444.7236918604,1441702.216497093,1291583.9110465115,1328662.875,330
2022-05-26,1364197.0865869708,1377586.7144658917,1158717.7972143015,1173909.875,439
2022-05-27,1122153.7182673144,1122153.7182673144,1025336.4171960637,1033576.1875,410
2022-05-31,1038210.8230088495,1094344.2454830382,1019156.3584992625,1047480.5625,407
2022-06-01,1028683.8204699954,1139920.7192041725,1013234.2512013597,1098464.375,419
2022-06-02,1112369.1732283465,1115716.5804625985,978987.8695866142,981047.8125,362
2022-06-03,1044648.3323465443,1081984.7898743355,1028683.7780932818,1065505.25,409
2022-06-06,1005251.7734753146,1085332.0248971442,991347.1639036787,1063960.125,320
2022-06-07,1105416.8719379508,1126273.7940499876,1028941.4908604824,1035378.8125,298
2022-06-08,1053660.618488372,1126531.0864825582,1041043.4703197675,1107219.125,335
2022-06-09,1135285.7157305789,1197341.478373144,1074774.9098343018,1196569.0,336
2022-06-10,1257079.8410766246,1332525.2309650823,1226438.198084384,1327375.375,429
2022-06-13,1458181.6655578513,1569933.5360950413,1421875.1822727274,1557831.375,462
